text,emotion
wah belom liat muka gue lagi murka hahahaha,marah
"Mungkin kurang piknik adrenalin. Mereka yg skeptis tuh kek bad-debitor yg mau seluruh data debitur bank hilang, atau kek mahasiswa-pemalas yg ngarepin data nilai seluruh kampus hancur. Kaum ""merasa"" paling sengsara yg gak mo pusing sendirian oleh masalahnya.",marah
"maaf kalo tersinggung ""orang kurus cepet mati"" woe ijat tulisan ""maaf kalo tersinggung"" itu tidak berguna",marah
berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak2 masa nak ambil result result 6A3B+ buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon2 spm yang akan datang,senang
Ehekk malu la hahahahahahaha,takut
WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2,marah
Yg membuat lidahku. Gugup tak bergerak,takut
"Lho kok buru-buru mengatakan orang marah? Keknya anda salah tafsir. Bukan marah sih, cuma mual-mual karena jijik.",jijik
Gila sih itu ngeri bgt galiannya,takut
"Kesal masih belom, ngantuk iya",marah
"Apalagi yg jualan Spotify premium banyak banget, lama-lama bikin risih",marah
Buaya darat buset aku tertipu lagi,takut
anjr ngeri bgt,takut
"kalo lu gitugitu aja masih kurang syukur, gimana gua nad?! wkwk",sedih
"Semoga jangan deh. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan:"")",takut
Hahaha. Memang pun. Baru guna sem ni mmg sakit la.. Terkejut,terkejut
Cukup untuk Kita: Selalu ada alasan mengapaSemesta menghadirkan tanda tanya Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna Dalam setiap Berita Unsri,sedih
"Makane ku juga heran, napa gk skip aja seh yg ini, sumpeh malesin banget",terkejut
"JANCOK, SUMPAH GUA MURKA LIAT INI. PEN GUA TEBAS JUGA LU PAK, TAEEEKKK DADI MENUNGSO KOK GRAGAS MEN YO COK, KEPIYE MAKSUDMU COK!!! TRADISI SIH TRADISI, TAPI CARAMU MATENI KUCING IKU YO RAUMUM SETAN! MATIMU YO RABAKALAN ADOH KOYOK KUCING KUI JANCOK!",marah
Pyo saja liatnya kesal,marah
kalo ada yg tersinggung dari twit 10 tahun yg lalu yg keluar dari jempol bocah 14 tahun ya bego sih wgwgwg,marah
"Siapppp, jangan risih kalau di balain ya",marah
Jijik sekali aku liat gesture ku sendiri bawain wannabe,jijik
"Semangat! Fighting! Kamu harus yakin ada banyak orang yg punya hidup kayak kamu, dan akan ada yg ngerti kamu. Daripada mikir untuk benci hidup, lebih baik kamu nikmati aja. Coba ketawain hal2 yg bikin kamu muak, abis itu kamu teriak/nangis.",senang
dah muak,jijik
Anjaaay ngeri nyaks,takut
yela da kaye sekarang nak berlagak lak ciss benci !,marah
Ini paling hal benci dari sd sampe smp anj wkwkwlwkw,marah
eh ngeri bernada ancaman,takut
"Mhn kesediaan Bapak/Ibu Pelanggan menunggu, dengan senang hati kami segera merespon Mention kembali. Tks ^Dodi",senang
Ko gua kaya wartawan ya nanya dia mulu hahaha lah dia nya mana nanya gua kan aneh ih jijik sama diri sendiri,jijik
"""maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong. maneh negatif pisan"" ia tertawa puas",senang
coba nahan diri utk ga update informasi tp ga tahan &amp; hasilnya malah makin memuakkan. sedih liat betapa absurdnya kebijakan pemerintah &amp; betapa berkuasanya lord LBP serta lemahnya kepemimpinan pak jokes.,marah
"Habis itu aku bilang gitu malah tanya tanya komitmen kek yg ada di foto ke 2. Kan katanya mau bilang langsung,ya emg dia besoknya jelasin langsung ke aku tp dg alasan yg kurang jelas. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku",sedih
I prefer this kind of privacy wkwkwk. Yg sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yg tersinggung,marah
"Kita ini banyak yang pelupa, bahwa hal sensitif seperti ini, bisa merenggut nyawa, nyawa kita, nyawa orang yang kita cintai, bahkan nyawa orang yang kita benci. Lalu apa ujungnya? Darah dibalas darah?",marah
Bukti n fakta klo pejabat2 INA ndk disegani olh mrk... miris malu tngkt international,sedih
"Masih heran kenapa ada si manusia"" bentukan kaya gt , siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs,",terkejut
Udh terkejut,terkejut
"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya, mungkin perasaan inilah yg saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak. Ini pelajaran berharga buat kita ya Njul ..",marah
"Ngeri bgttt, akunmu nyambung ke email gak? Kalo iya biasanya keliatan yang mau masuk ke akunmuu",takut
"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun Duka nya tua di keretaaaaaaa, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah",senang
"Syukur Alhamdulillah... bukan nilai materi yg aq vahagia, tp dipercaya dan direspon + GA ini lah makna hakiki indahnya Silaturahmi .... sehat selalu, murah rejeki, delamat dunia akherat untuk saudaraku salute dan respek",senang
"Kesian, penat merangkak tu",jijik
Bapak lajuu hahaha. Functionnn klau susah. Secret boss dia hritu senang gila hahaha,senang
"wow aku mimpi aku ikut perang ngelawan jepang buat kemerdekaan, bangga sekali",senang
Udah kebiasaan ABS Asal Bapak Senang. Jadi ya seneng kl dengar info,senang
Terkejut nina tgk yg reply tu jugak. Backup teruks,terkejut
"apa kamu tida malu ngehujat pake nama fandom laen? uda la kalo gabut mah gabut aja gosah ngajak tubir orang, eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang ups bcnd syg",jijik
Anjir panas dingin yang debut siapaaa yang gugup siapaaa,marah
"Iyaa puas makan sabbat burger, nyokap aja suka banget. Kalau malem antrinya mantep",senang
take note pls. jgn bg rakyat murka ye.,marah
Sangat benci,marah
"Saya gak kebayang dia sekarang pasti gak tentram, karena komandan diperlakukan seperti yg dulunya jadi prajuritnya pasti tersinggung dan sakit sahit",sedih
"Kayanya gini ke Hokuto doang sih Kalau Achilles, aku senang liat dia dibully batur /heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka Kalau yang lain kayanya fangirling biasa",senang
"muka nya murka,badmood melihat orang orang yang masuk neraka",marah
Pengin jadi sabun biar korona pada takut,takut
"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... Terhadap hal yg nabi jijik sj beliau berhati dlm menghukumi, apa lagi hal yg nyata hikmah kebaikannya...",marah
SAD ENDING GANTUNG ENDING GUA MUAK YA,jijik
Gapapa mas saya bangga sama temen temen saya.,senang
"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa.",senang
JANGAN TANYA SAYA! SAYA HERAN! KAGET SAYA!,terkejut
"Jangan cala colo aja napa koh, kecewa gua. Akwoakwoakwoakwoakwok",sedih
"Semoga dapat pembalasan yang setimpal,dan allah murka dengan manusia2 seperti itu",marah
"Lokasi di tunjuk ama cebong...atas arahan cebong pula ga heran kalo banjir, kan emg harus ada kolam buat berkubang",jijik
Morn Semoga tiap hari kita bahagia. Stay strong ya kita,senang
"Knapasihhh, akupun kecewa ma diriku sendiri",sedih
Amiiiiiin *team sengsara berakhir bahagia,sedih
Ternyata lebih sengsara kangen sama temen,sedih
Heran aku kenapa dari kemaren dimintain duwit terus,terkejut
Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu,senang
"Anjir benci vbanget sm cowo yg ngroko smbl berak Di tmpt kerja, kamar mandi cuma 1 udh gitu gada ventilasi, temen gua tiap ke kamar mandi berak pasti ngrokok, pas keluar gila itu kamar mandi udh kaya habis kebakaran, asepnya lebat bgt, heran ko ga mati ya 15 menit disitu",marah
Sedang kesal,marah
Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe,jijik
PKP random sketch day berapa entah. Gugup gak aku sketch ni.,takut
KO OVARIUM ANJINC [ mrasa kesal ],marah
manusia modelan begini tuh masalahnya apa si caper mlu heran,terkejut
Minum kopinya kang biar gak gugup,takut
bnyk gasukanya heran,terkejut
orang stress gini nih subuh subuh ada aja kelakuannya. heran.,terkejut
Sudah bosan dan muak ya? Wkwkwkkw,jijik
"benci ih aneh bgt BGTBGTBGT ANEH HUH, nikmat tuhan mana yg kamu dustakan? bener2 deh",marah
Diiyain lagi murka banget.,marah
Bae-bae ye jangan keseringan jadi ngeri,takut
Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik,jijik
Bersama sama hilangkan hati duka lara,sedih
"Udah kaya begal maen todong, ngeri!!",takut
wkwkwk gapapaaa aku bacanya lucu jadinya cuma ngebenerin aja kokk jangan tersinggung yaaa,terkejut
Kan bila fikir pun dah penat . Apa tah lagi nak lalui lagi,jijik
"sakit banget saat cowok yg bikin lo bahagia kemaren, ternyata yg bikin lo nangis hari ini",sedih
"Dia nyindir jg diacara lain wkwkw intinya sih gue yakin dia kecewa bgt (YAIYALAH) soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong:""",sedih
"emang udah benci jokowi dari sana nya, ya susah ngomong sama kadrun",marah
"Dendi d pateni Yo,jijik bgt e kae ki",jijik
HIH KESAL,marah
"senang hari ini, menjadi halu kemudian",senang
"Aku tersinggung mbak, pengen muleh ae rasane",marah
"Gue nyariin dari kmrn,kecewa",sedih
"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa",jijik
"cth paling senang lecturer la, mcm mana sei dia nak tau apa yg jadi dkt student2 dia.... apa yg student dia buat cth dengan siapa student dia dating, apa yg student dia buat bila bukan waktu kelas... and senang2 je dorg kata seungri tau apa yg berlaku ?? wtf",senang
