text,emotion
trs barusan dia reach out aku trs minta tolong buat bantu project dia yaallaah aaaa jujur agak takut pressure tp ok gapapa,takut
"sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd, dapet, tp mau chat gajadi soalnya takut",takut
ragu utk bisa beli barang tu karn harganya bisa buat cicilan bulanan,takut
bisa gak sih langsung tanggal 11 aja gausah ada tanggal 10 gua takut banget mana 2 hari lagi,takut
iya kaan yg lain suka pada coba pd gpp tp tetep takut wkwk,takut
eh sumpah gw takut bangett. serem bangett itu orang,takut
"namnjim lag like like nya ngeri bgt, anak buah imam jumbo emg sama aja semuanya",takut
ogeb bat dah pake sok sok an kaget,takut
"plis nilai akm keluarnya lama banget, takut",takut
"mau ikut esd aja telat, trus takut flop",takut
emm hampir setiap waktu gitu sampe panik?,takut
jadi malu saya,takut
sinb kamu tiati mukanya yak takut krna evil edit,takut
buset ngeri bgt,takut
"nah kan, sudah pasti ada alasan kuat, mengapa direksi sebelumya mengundurkan diri. belum apa apa udah jadi bumper. ngeri ngeri sedap.",takut
pas bangun langsung kaget..,takut
men's team grup b ngeri kali,takut
but again aku ga registrasi beneran cuma stop di situ aja soalnya takut kualat kan udh dibilangin yg gap registrasinya tgl 14 hehe dah gitu aja,takut
"anak cewe sendirii, takut kenapa napaa kali. sy pun tak tahu",takut
udah nyoba dari pagi-siang-sore-malem sampe jam 1/2/3/4 subuh juga kagak bisa trs aku panik dong,takut
"ntu ada kecoak, jijel takut",takut
thanks udh speak up bang. gua ngeri akun lu tiba2 kena petrus :(,takut
"halo kak paket saya masih belum ada update dari tanggal 29 januari sampai sekarang dan belum sampai juga, bagaimana ya kak? saya khawatir jika paket saya hilang soalnya saya banyak lihat kasus paket hilang di twitter, mohon bantu follow up ya kak,saya sudah 12 hari menunggu paket",takut
betuul sm takut balesannya,takut
tadi pagi kelock yank.. dahlah meskipun udah unlock tetep takut banget jadinya move sekarang aja,takut
ngeri yaampun,takut
weh takut limit,takut
"hari ini gk dl,ngeri",takut
"klarifikasi di ig nya mz katanya ke resto sblm tau kl positif, itu lg nunggu hasil. pdhl kan bisa nunggu di mobil trs kl mau makan ya tinggal drive thru, gue nunggu hasil pcr aja ga kemana2, ngeri kl hasilnya positif bakal nularin, lah dia malah santai aja anjir",takut
"namun, untukku itu hal tabu dan ga baik untuk di lakukan, apalagi dada itu aurat nya cewek, hal sensitif nya cewek, meskipun masih kecil itu ga bisa di lakukan. kalo dilakukan terus menerus lama2 jadi biasa bagi yang melakukan, dan bakal di bawa sampek dewasa sumpah itu ngeri.",takut
"iya, aku biasanya di tengah-tengah krn takut ada kendala gitu. eh kena hnr",takut
"menyendiri dulu dehh,, mabok dulu biar ga panik",takut
"kucing kota, panik dia dikejer",takut
takut la case naik ni erm,takut
kenapa nak hasut orang tak vaksin? pastu bangga sangat bila orang vaksin takut nak cerita side effect kat dia.,takut
takut ya.,takut
ngeri mba:(,takut
kok suaranya aneh dan bikin merinding ya,takut
"berkali kali ada debt colector ke rumah, nanya nama yg aku sendiri ga kenal huhu, takut",takut
kyk kalo emg ga ada bs ga sih jgn accept orderan akuu. kan jdnya ngasih harapan palsu. aku gamau kacang ijoo maunya tausaa,takut
lagi stuck nih.. gatau sampe kapan nih ceritaku. takut ngga bisa ngelanjutin ada yang pernah diposisi ini ngga guys? dan apa yg kalian lakuin biar survive lagi?,takut
cuman kaget tok,takut
"andin aja bawa kesini,hazel masih bayi takut flu",takut
takut banget loh,takut
nyontek pas ujian seni musik. ya allah percayalah di sekolah gue semua anak lebih takut remidi musik ketimbang pelajaran eksakta lainnya soalnya susah dan males bgt gurunya paling killer seantero sekolah-,takut
anjg kaget gue..,takut
"dua hari yang lalu gue dibeliin kopi, nah gue kan gaberani minum soalnya masih pagi takut asam lambung gue kambuh soalnya mau ada kegiatan kan. terus baru sempet minum kopinya barusan dan anjirr perasaan gue ga enak soalnya udah ngerasa agak dredeg dikit",takut
proyek dibalik kepanikan..atau panik dibalik keproyekan,takut
ngeri editannya,takut
jangan panik jangan panik,takut
serius? takut salah info,takut
iya kann aku aja sampai kaget katanya mereka juga udh pada tau klo mirip,takut
siap huaa takut loh aku,takut
"aah i baru baca data. dah terbiasa tengok kes tinggi je, jadi takut",takut
"dikepung, dikejar2, ditangkapi, ditakut-takut i.",takut
takut..,takut
kenapa pas gue kirim pas banget dibaca dari bawah anjengg malu bgt untung ga dikasih liat nama pengirim nya siapa,takut
pengen blink selca day tp malu.,takut
"bener kaya, mau tinggal sama salah satu orang tua pasti sering makan hati. tapi kalo tinggal sendiri takut gabisa ngurus rumah apalagi diri sendiri. so one thing we have to do is survive",takut
"mau balik kampus nemuin kajur badan malah lemes gaenak badan jadi takut mau ke kampus lagi, moga aja ga kenapa"" aku",takut
kaget akun gua ke log out sndri,takut
ngeri amat wkwk,takut
ihh kaget tiba2 ada comback lagii ihh ya ampun sampe hiatus,takut
weh baru balik ngerjain tugas kaget banget kok rame??,takut
baim wong kaget menemukan banyak ular di rumahnya,takut
klo gugup tuh rasa nya kya udh mau mati gra2 ga bisa nafas,takut
md nya juga tolong jangan lupa dibacain takut meriang membutuh kan kasih sayang,takut
emang ya kalo udah ragu mending gak usah sekalian,takut
ngeri ni..,takut
"jpn, sgp takut gilaa",takut
w jd takut pke jnt,takut
ngeri,takut
"dan si mbak nya auto malu pake minta maaf, padahal netizen indo ketawa2 doang karna mbak nya lucu dikira quote estetik",takut
takut banget ada star syndrome,takut
"ga bolehh, soalnya udah makan mie kemarin' takut lambung aku kambuh lagi kalo keseringan wkwk",takut
takut gabisa beli sedikit gituu,takut
takut tambah dewasa,takut
malu dan males,takut
aku malu sst yang udah liat congrats kalian pernah memandang wajah istri kak andrew,takut
"mo bilang kicep, takut..gitu aja kok malu saadd kasad..",takut
"katanya sekolahku gak bakal online, tapi at least semuanya di swab dong, ngeri.",takut
"ga ada waktu, apa takut ada mata2 ww",takut
oo pahamm agak kaget y bund..,takut
takut bgt jujur kalo yangti udh turun tangan,takut
jangan lupa minum ya abis makan. takut keselek,takut
takut banged loch(abaikan muka),takut
gamau tegang belum disuruh ayank gak usah di zoom ! gaboleh ayank,takut
"gue ga tweet begituan di sini, malu dan pasti dikecam. skrg kan serem, apa apa dispill. tweet kayak pgn have sex sama anime langsung pqrt atau diss lalu dijadiin bahan teh",takut
gua ngeri ke lock,takut
hamdallah panik bgt hari ini banyak lagi yaa,takut
ngeri tp berusaha menenangkan diri,takut
"banyak yang bertanya, memangnya apa yang perlu saya cemaskan? semuanya terlihat sempurna dan saya memiliki segalanya. tanpa mereka tahu, bahkan saya cemas untuk sekedar tetap hidup lima menit setalah ini.",takut
sengaja dibiarkan soalnya takut melanggar ham,takut
jdndhdjh jujur yaa ak suka covernya tp takut bgt bacanya makanya ga beli,takut
"punya pasangan kene diajak gaduh dulu baru rajin sangat, kaget lihat semua udah dibuat kemas aja sama dia hihi",takut
"deg deg an, gabisa mikir, kalo udh gugup tingkat tinggi biasanya tremor",takut
"nggih mas, aku bingung aja, takut salah beli obat",takut
"hujan tak kunjung reda, setiap hari hujan mulai menemani nih,.. jadi males keluar rumah,,untungnya wifi rumah pakai indihome jadi g takut internet lemot",takut
takut,takut
gabakalan ada habisnya ga sih.. takut ricuh jd keknya gak ada nder,takut
"makji aku pengen mam mie ayam, udh bm 2 minggu lalu boleh gk makji? takut ileran ini cacingnya",takut
