text,emotion
"suka banget kata2, ""kebenaran hanya menurut selera kalian saja.""",senang
"hanse mode anak rumahan gini tuh aku suka banget wkwk pake kaos terus bawahnya celana model apapun itu, misal jeans atau training tuh fav banget sih. atau pake kemeja.. sebenernya apapun style nya suka aja sih",senang
"ya kali ngejar ngejar cinta, ngejar tahajjud aja kadang suka telat",senang
"selamat pagi sender! sana avail nih pas hari valentine, nanti disayang-sayang sama sana, dia orangnya manja dan suka manjain balik terus juga suka usel-usel sama pacarnya. aku drop carrd sana ya kalau kalau tertari langsung ketuk dm aku ya!",senang
sopaa!! cuz akuu suka banget jurusan tari di sana aku sering ngikutin daily school nya anak sopaa dan itu asik asik bangett mereka juga suka ada event!!,senang
btw roo makasih rekomendasinyaa suka banget sama ini au beneran dah tt aku sampe sakit perut ketawa mulu,senang
"awalnya mas firman suka masak ini karena suka nonton masterchef australia season 2 pada 2010, nah mulai dari situlah benih-benih cinta terhadap masakan mulai muncul. untuk chef favorit atau panutannya sendiri ada gordon ramsey, sebastian fitarau dan marion grasby.",senang
heh crush sya ko lucu banget ya pengen jujur deh sama muhammad kenzie rafael bahwa sya suka sma diaa,senang
sopaa!! cuz akuu suka banget jurusan tari di sana aku sering ngikutin daily school nya anak sopaa dan itu asik asik bangett mereka juga suka ada event!!,senang
"ya udah, enggak apa. gue sama sahabat gue di sma pernah suka sama laki yang sama. kita bawa fun aja, inget banget waktu tuh laki lagi main futsal di lapangan sekolah, siapa yang liat duluan, nanti kasih tau terus nonton bareng.",senang
"iya bangett suka minderan, kalo nemenin temen yg suka nya cuma liat2 aja kadang suka malu banget",senang
gw suka banget akumo no ko,senang
"sama-sama, dia gak suka pilih-pilih makanan, ya? kayanya nina juga kasih makan yang banyak sampai dia gembul, lucu..",senang
lucu banget editannya aku waktu sma suka banget sama series ini. liburan ke bandung cuma buat nyari gramedia buat beli series ke-4 karena dikota aku belum ada,senang
"dibuat sama gdh, emang udah jaminan mutu ya. suka banget sih sama gaya berceritanya, banyak kasih liat reaksi orang-orang. pokoknya tiap toon sungkem sama nenek-nenek, dada gue langsung sesek ada di netflix, last day to watch 28 feb besok! jadi buruan deh ditonton.",senang
suka kasih something ke pacar jadi kalau kamu milih aku gaakan bosen dan bakalan dibuat happy terus hehe kalau kamu tertarik bisa langsung check carrd aku atau dm ke agensi aku disini see u,senang
"bagus banget buat akuu!! mungkin kalo suka genre drama trus genderband bakal suka fl-nya jg independent, tapi bukan tipe fl yg badass",senang
"haloo sender, izinkan kala mengajukan diri ya kebetulan bisa avail ditanggal segitu plus juga bisa ke kkt dan bisa movie date juga, aku tipikal yang suka banget nyeritain hal random ke pasangan, soft juga paling suka kalau lagi ngebucinin pasangan dan diem diem aku",senang
sedih banget tiapnliat kucing2 yang gue kasih makan suka berantem rebutan. padahal seharusnya mereka semua bekerja sama untuk menggulingkan gue sebagai manusia kapitalis yang memegang kuasa akan sumber makanan mereka.,senang
"ada yang suka sama bill skasgard reply sama favorit movie dong, gue lagi nunggu banget doi adu peran di ""boys kills word"" sama yayan ruhiyan perannya jadi bisu dan tuli mvs",senang
"eh aku ganti dn, masi kenal gakk? lagi suka banget sama nama panggilan ai sksk",senang
aku nda suka dispet tp makasi y udah kasih foto ini,senang
suka banget,senang
"suka nih netijen yang kayak gini :) otak"" detektif gw like banget",senang
"suka rasa kacang merah, enak banget",senang
"makin sering denger discography cix, makin ngerasa kayak ""aduh, gue suka banget cix..""",senang
dipikir pikir aku orangnya sok asik nyatanya gak ngasikin kan . sok akrab banget padahal kayak jijik gitu sama aku ya udah gak bisa memaksa buat suka sama aku,senang
mimpi nemu collect book yang pas banget aku suka tapi pas bangun lupa bentukannya,senang
wkwkwkkwk suka banget ama mereka aku tu,senang
suka banget,senang
"kadang suka mikir kenapa ada orang ky mama. mertuanya toxic banget suka adu domba tapi beliau ga pernah benci. kalo punya uang, beliau suka pake buat beli makanan dan satu keluarga harus ngerasain. mau dibikin nangis ky gimanapun beliau tetp sayang.",senang
"suka banget, tapi lebih suka crush aku.",senang
"suka banget kk flo,, yuk kita beli kk flo !!",senang
siap suka banget,senang
gatau tp aku suka banget sama anak itu,senang
"wp terbagus minggu ini wkwk. selain tuli-san sas-tra, atithesis bakal jadi wp favorit. pas baca setiap part tuh rasanya nyaman, suka sama tulisannya semoga bisa nemu yang bagus lagi eheh",senang
"pap foto ke ayang, btw sekarang suka banget ngalis",senang
"-hey sender suka banget sama lagu ini, lagunya sedih (dan keliatan kalo lagu sedih), tapi bukan yang temponya lambat gitu. terus tiap baca translate-an liriknya sender selalu keinget anime kesukaan sender (dan pas sender cari tau ternyata seunghyub emang bikin lagu ini",senang
fav banget jelas payphone sisanya semua lagu mereka gua suka,senang
"kelebihan vr aku mah paling suka pake vr buat nyelem di laut. hahaha itu kocak banget. anakku suka banget tuh main itu, sama bola.",senang
"suka banget sama lagu ini, kalo dengerin ini berasa lagi di hutan terus ada peri nya sambil lari larian di bukit bukit indah gitu wkwkkwk",senang
"masih nggak ngerti sama orang yg suka maen kode-kodean, padahal to the point itu enak banget",senang
"siapa tau ada yg sayang aku, jadi ini kan h-1 karna aku ga suka coklat dan akunya lagi seneng bgt olahraga boleh request ga kalo dikasi yg berguna buat olahraga gitu. semisal sepatu / kaos juga gapapa yg ptg bisa buat olga. wkwkwk",senang
"grandpa vibe banget ya ""dulu kakek banyak yang suka, tapi kakek jatuh hatinya sama nenek kamu""",senang
