label,tweet;;
sedih,[USERNAME] not habits.. tekanan;;
"cinta,""[USERNAME] first luv ku di dunia fangirl sih 1D sm 5sos ra trs sblm belok ke wanna one ke austin,shawn,cody gt  aku cuma tau aja sih magcon tp ga ngikutin bgt hehehehe""";;
"senang,""Penang Food Rocks ! Even in Jakarta ! But the menu not very Penang le ! #penangfood #penang @ Jakarta, Indonesia [URL]""";;
marah,[USERNAME] mungkin sama komen nya dia waktu dapet gelar santri trus gak lama jd ulama... it's not a good example definitely.;;
"marah,""[USERNAME] No....not like that.....kalau Anda sering hunting bareng, lalu sering baca koran, terasa mana foto setingan dan mana dari realita asli....""";;
marah,Terus nyala tp bwt speedtest ajah ga bs server not found [USERNAME] jgn suruh saya beli leptop drmh hp cm 1 baca inbound dulu sebelum bales yah 10336740 [URL];;
senang,Not yang sederhana dengan lirik yang dalam bisa trending di spotify yah..Heres a song for you... Waktu Yang Salah (feat. Thantri) by Fiersa Besari.[URL];;
"sedih,""[USERNAME] Aku tim debat sekolah, not so good juga sih, sering masih ada salah, tapi selama latihan awal-awal klub, fokus senior aku maksa kita buat terbiasa ngomong sendiri/ngomong depan publik.""";;
"marah,""Well tergantung, kalo maksud lu sukses itu bs hidup enak makan enak kmn2 naik mobil bapak lu ya oke..Tapi kalo bisanya cm ngabisin duit,smp suatu saat bnr2 abis,lu ga punya skill apa2,ada warisan jg gbs ngatur,lu punya apa? Msh bs disebut sukses?.Sukses tergantung lu bkn bapak lu [URL]""";;
"marah,""""""Kegenitan generasi tua"""" wow jadi lu bilang gw genit? Well at least some generation can take jokes...but maybe not you""";;
marah,Its kinda weird while you chat with someone your not really past. Terus dia entah pura pura atau emang gatau dah beneran apa engga lupa dan ngapus kontak...Emosi.;;
senang,Selalu ada jalan.untuk menjemput apa yang kita butuhkan. God give what u need Not what u want;;
"marah,""Im not your type, makannya aku cari orang lain ujar dia..Selama ini aku bales chat cepet .kamu anggap apa!! .Remahan stiker""";;
"senang,""Tl isinya si [USERNAME] ngelike foto cewe terus, but I'm not complaining tho [URL]""";;
"marah,""Gak cuma formalitas aja gitu nanya, kenapa? Oo gt. Ngangguk2. Ok. Alergi obat? Ok. Saya resep ya. ..Gue sebel bgt sama yg begini. .Sorry not sorry, i need to discuss what happened with my body. What should i do and so on and so on. ..Gak cuma minum obat dr resep.""";;
"sedih,""I usually not gonna share things about pollitics. And this one is none about it, i think  Cuma bacaan yang membuka pemahaman gw aja tentang rakyat indonesia yang (mungkin) memang belum siap menjadi warga negara yang maju. [URL]""";;
"cinta,""WHERE WE LOVE IS TRULY HOME"; HOME THAT OUR FEET MAY LEAVE, BUT NOT OUR HEARTS  OLIVER WINDELL HOLMES (Tempat yang paling kita cintai adalah rumah;" rumah dimana kaki kita bisa saja meninggalkannya, tapi hati kita tak bisa melupakannya)"""
"takut,""Pak [USERNAME] bilangin TKNnya jangan lengah ya pak. Riil battlefield is offline not online. Selisih suara makin sempit, saya pengen bapak 2 periode. Jangan sampe kejadian pilkada DKI ya""";;
"sedih,""[USERNAME] It's not funny, for me. Gue ngebayangin adek gue yg ada di posisi dedek itu, dan adek gue juga sering video ala2 youtuber, and i don't even judge or mock her for doing that, i just let her be. Sumpah gue sedih liatnya""";;
"marah,""Use eyes, not mouth. Don't ask a lot, try to find out, bitches!.........Jangan tanya artinya! Cari tau sendiri, kentut nyamuk!""";;
senang,Aku selalu pengen jadi pendongeng. ..Buat apa? ..Ya biar jadi pencerita yg baik lah buat anak anak kita kelak hahahahahaha...You're not a story teller shin. You're totally a mendes plis kurang2in. ..Oke mas. Selamat hari dongeng :))) [URL];;
takut,[USERNAME] Bingung nonton five feet apart atau ini dulu.. atua why not booth????;;
marah,[USERNAME] 010500010902019 yg bener aja kak jam 11 siang Not Time Delivery (bukan jam pengantaran) ??? [URL];;
"senang,""Supporting circumstance memang se-penting itu, tapi kalo kalo gak nemuin lingkungan tsb, do not give up!  Coba ciptain sendiri lingkungan pendukung tsb dgn cari teman2 yg satu visi dan misi. ..*talk to my self*""";;
sedih,The end still not seen. Ini kerjaan beneran baru kelar kalau resign :''''');;
marah,potret SJW yang tidak well-informed [URL];;
marah,Dia udah t e r s a n g k a can you guys chill [URL];;
"senang,""Ok ok, akhirnya not unbeaten.#FinoAllaFineForzaJuventus""";;
"marah,""Well i dunno, dikirimin video video alesan dia pen ruqyah tp ga kedonlod bcs sinyal 3 yg ee disini""";;
"senang,""Eksperimen butter rolls, walaupun ada yg ke lupa stepnya tapi not bad lah besok bisa coba lagi. Gagal itu biasa~ [URL]""";;
takut,Inside : not ready for usbn unbk utbk simak utul iup dll!.Outside : [URL];;
"senang,""apapun, pasti akan reda juga. Do not ever be.afraid. :) DiaryDelima""";;
"cinta,""""""Ur not me, Loe straight. U cant judge me"""".Misal suka sama lawan jenis salah dimata Tuhan & Suka sesama jenis itu benar dimata Tuhan..Gua akan pilih apapun yg menurut Tuhan itu benar. Trlepas dari itu bkn adlh hasrat gue yg sbnrnya.Why? Cz I love GOD more than myself or ANYTHING!""";;
"senang,""I think the only person who knows me too well, TOO WELL, sampai busuk2nya pun cuman [USERNAME]  Terlalu banyak petualangan kl sm doi mah.""";;
marah,Kayaknya ada dua kavling yg depan depanan sama Stasiun MRT Fatmawati msh dibiarkan kosong...Property market has not catching up atau emang lokasi stasiunnya butut.;;
"marah,""[USERNAME] Yaela isat mah ga profit, mending gausa di buyback wkwk, not worth""";;
marah,Ke whats good malah jadi not good..HAHA apasi apasi;;
"marah,""[USERNAME] Sbnernya klen sama aja sik dengan bilang bahwasannya """"muslims (community) are not terrorist"""" yang mana menunjukan emang hanya sebagian muslim yg terrorist dan menolak digeneralisir. Dan juga """"most terrorist i've ever heard..."""" yang mana menunjukan tidak semua muslims community.""";;
"senang,""let's not get too attached to a personality..misalnya kamu suka ide A dari Jokowi dan ide B dari Prabowo. biarpun mereka ada di kubu yang beroposisi, kamu nggak harus memilih salah satu. kamu bisa membangun opinimu sendiri dari adaptasi kedua ide.""";;
marah,[USERNAME] apa gua doang ya yg not even care :)) lo mau bontel kek asal care itu cowo yg joss wkwkwk;;
"marah,""[USERNAME] Oke kalo gitu resign nih? Namun siapkah kalian para lelaki membiayai segala kebutuhan dan keperluan wanita? Hahaha.Honestly, it's not my choice""";;
senang,[USERNAME] Sepertinya begitu tuna :) tp kemaren ada temen gue yg telat ngevote tp pilih pink. Tenang tun kamu tidak sendiri. You are not alone~ I am here with you~;;
"cinta,""YOU COME TO LOVE NOT BY FINDING THE PERFECT PERSON, BUT BY SEEING AN IMPERFECT PERSON PERFECTLY  SAM KEEN Kau mulai mencintai bukan karena menemukan seorang yang sempurna, tapi dengan sempurna melihat orang yang tak sempurna)""";;
"marah,""Deat tim ECO, pls fix it the soonest...dari semalem offline, thx u. [URL]""";;
"takut,""Maret..Bulan nya boros, bulan nya mager, bulan nya baperan, bulan nya tidak produktif!..For me""";;
"senang,""Our favourite Vice President nominees respect his people confidences | Calon Wakil Presiden kesukaan kita menghormati rasa percaya rakyatnya. @ Jakarta, Indonesia [URL]""";;
"cinta,""[USERNAME] [USERNAME] [USERNAME] Sabtu lalu di Dnpsr stlh Lombok, keliatan blio lelah but he did very well.....Insya Allah sgr sht lahir bathin Prof [USERNAME] ksyngn ummat""";;
marah,Manusya2 sampah bisanya cuma kek gitu. There r not human being  [URL];;
"marah,""[USERNAME] [USERNAME] [USERNAME] kenal sih kir aq sama dy.tmn jg, cuma not dat freaking close sampe taraf ap pun dikasih""";;
